lex	word	POS	time	gender	case	number	verbal	adj_form	comp	person	aspect	voice	animacy	transitivity	имя	отч	фам	вводн	гео	сокр	обсц	разг	редк	устар
свой	своих	APRO			пр	мн																		
мягкий	мягких	A			пр	мн		полн																
нога	ног	S		жен	род	мн							неод											
марья	марья	S		жен	им	ед							од		имя									
дмитриевна	дмитриевна	S		жен	им	ед							од			отч								
малый	малейшим	A			дат	мн		полн	прев															
усердие	усердием	S		сред	твор	ед							неод											
при	при	PR																						
движение	движении	S		сред	пр	ед							неод											
плечо	плеч	S		сред	род	мн							неод											
или	или	CONJ																						
округление	округлении	S		сред	пр	ед							неод											
рука	рук	S		жен	род	мн							неод											
в	в	PR																						
поворот	поворотах	S		муж	пр	мн							неод											
и	и	CONJ																						
притоптывание	притоптываньях	S		сред	пр	мн							неод											
производить	производила	V	прош	жен		ед	изъяв				несов			пе										
не	не	PART																						
меньший	меньшее	A		сред	вин	ед		полн																
впечатление	впечатление	S		сред	вин	ед							неод											
по	по	PR																						
заслуга	заслуге	S		жен	пр	ед							неод											
который	которую	APRO		жен	вин	ед																		
ценить	ценил	V	прош	муж		ед	изъяв				несов			пе										
всякий	всякий	APRO		муж	вин	ед		полн					неод											
при	при	PR																						
ее	ее	APRO			пр	мн																		
тучность	тучности	S		жен	пр	ед							неод											
и	и	CONJ																						
всегдашний	всегдашней	A		жен	пр	ед		полн																
суровость	суровости	S		жен	пр	ед							неод											
пляска	пляска	S		жен	им	ед							неод											
оживляться	оживлялась	V	прош	жен		ед	изъяв				несов			нп										
все	все	SPRO			вин	мн																		
много	более	ADV							срав															
и	и	CONJ																						
более	более	ADV																						
визави	визави	ADV																						
не	не	PART																						
мочь	могли	V	прош			мн	изъяв				несов			нп										
ни	ни	PART																						
на	на	PR																						
минута	минуту	S		жен	вин	ед							неод											
обращать	обратить	V					инф				сов			пе										
на	на	PR																						
себя	себя	SPRO			вин																			
внимание	внимание	S		сред	вин	ед							неод											
и	и	CONJ																						
даже	даже	PART																						
не	не	PART																						
стараться	старались	V	прош			мн	изъяв				несов			нп										
о	о	PR																						
то	том	SPRO		сред	пр	ед							неод											
все	все	SPRO			вин	мн																		
быть	было	V	прош	сред		ед	изъяв				несов			нп										
занятый	занято	A		сред		ед		кр																
граф	графом	S		муж	твор	ед							од											
и	и	CONJ																						
марья	марьею	S		жен	твор	ед							од		имя									
дмитриевна	дмитриевной	S		жен	твор	ед							од			отч								
наташа	наташа	S		жен	им	ед							од		имя									
дергать	дергала	V	прош	жен		ед	изъяв				несов			пе										
за	за	PR																						
рукав	рукава	S		муж	вин	мн							неод											
и	и	CONJ																						
платье	платье	S		сред	пр	ед							неод											
весь	всех	APRO			пр	мн																		
присутствовать	присутствовавших	V	прош		пр	мн	прич	полн			несов	действ		нп										
который	которые	APRO			им	мн																		
и	и	CONJ																						
без	без	PR																						
то	того	SPRO		сред	род	ед							неод											
не	не	PART																						
спускать	спускали	V	прош			мн	изъяв				несов			пе										
глаз	глаз	S		муж	вин	ед							неод											
с	с	PR																						
танцующий	танцующих	A			пр	мн		полн																
и	и	CONJ																						
требовать	требовала	V	прош	жен		ед	изъяв				несов			пе										
чтобы	чтобы	CONJ																						
смотреть	смотрели	V	прош			мн	изъяв				несов			пе										
на	на	PR																						
папенька	папеньку	S		муж	вин	ед							од											
граф	граф	S		муж	им	ед							од											
в	в	PR																						
промежуток	промежутках	S		муж	пр	мн							неод											
танец	танца	S		муж	род	ед							неод											
тяжело	тяжело	ADV																						
переводить	переводил	V	прош	муж		ед	изъяв				несов			пе										
дух	дух	S		муж	вин	ед							неод											
махать	махал	V	прош	муж		ед	изъяв				несов			нп										
и	и	CONJ																						
кричать	кричал	V	прош	муж		ед	изъяв				несов			нп										
музыкант	музыкантам	S		муж	дат	мн							од											
чтоб	чтоб	CONJ																						
они	они	SPRO			им	мн																		
играть	играли	V	прош			мн	изъяв				несов			пе										
скоро	скорее	ADV							срав															
скоро	скорее	ADV							срав															
скоро	скорее	ADV							срав															
и	и	CONJ																						
скоро	скорее	ADV							срав															
лихой	лише	A							срав															
лихой	лише	A							срав															
и	и	CONJ																						
лихой	лише	A							срав															
развертываться	развертывался	V	прош	муж		ед	изъяв				несов			нп										
граф	граф	S		муж	им	ед							од											
то	то	CONJ																						
на	на	PR																						
цыпочки	цыпочках	S			пр	мн							неод											
то	то	CONJ																						
на	на	PR																						
каблук	каблуках	S		муж	пр	мн							неод											
носиться	носясь	V	непрош				деепр				несов			нп										
вокруг	вокруг	PR																						
марья	марьи	S		жен	род	ед							од		имя									
дмитриевна	дмитриевны	S		жен	род	ед							од			отч								
и	и	CONJ																						
наконец	наконец	ADV																вводн						
повертывать	повернув	V	прош				деепр				сов													
свой	свою	APRO		жен	вин	ед																		
дама	даму	S		жен	вин	ед							од											
к	к	PR																						
ее	ее	APRO			пр	мн																		
место	месту	S		сред	дат	ед							неод											
сделать	сделал	V	прош	муж		ед	изъяв				сов			пе										
последний	последнее	A		сред	вин	ед		полн																
па	па	S		сред	пр	мн							неод											
подымать	подняв	V	прош				деепр				сов													
сзади	сзади	ADV																						
кверху	кверху	ADV																						
свой	свою	APRO		жен	вин	ед																		
мягкий	мягкую	A		жен	вин	ед		полн																
нога	ногу	S		жен	вин	ед							неод											
склонять	склонив	V	прош				деепр				сов			пе										
вспотеть	вспотевшую	V	прош	жен	вин	ед	прич	полн			сов	действ		нп										
голова	голову	S		жен	вин	ед							неод											
с	с	PR																						
улыбаться	улыбающимся	V	непрош		дат	мн	прич	полн			несов	действ		нп										
лицо	лицом	S		сред	твор	ед							неод											
и	и	CONJ																						
округло	округло	ADV																						
размахнуть	размахнув	V	прош				деепр				сов			пе										
правый	правою	A		жен	твор	ед		полн																
рука	рукою	S		жен	твор	ед							неод											
среди	среди	PR																						
грохот	грохота	S		муж	род	ед							неод											
рукоплескание	рукоплесканий	S		сред	род	мн							неод											
и	и	CONJ																						
хохот	хохота	S		муж	род	ед							неод											
особенно	особенно	ADV																						
наташа	наташи	S		жен	род	ед							од		имя									
оба	оба	NUM		муж	вин								неод											
танцор	танцора	S		муж	вин	ед							од											
останавливаться	остановились	V	прош			мн	изъяв				сов			нп										
тяжело	тяжело	ADV																						
переводить	переводя	V	непрош				деепр				несов			пе										
дыхание	дыхание	S		сред	вин	ед							неод											
и	и	CONJ																						
утираться	утираясь	V	непрош				деепр				несов			нп										
батистовый	батистовыми	A			твор	мн		полн																
платок	платками	S		муж	твор	мн							неод											
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
граф	граф	S		муж	им	ед							од											
ай	ай	INTJ																						
да	да	CONJ																						
данила	данила	S		муж	им	ед							од		имя									
купор	купор	S		муж	вин	ед							неод											
тяжело	тяжело	ADV																						
и	и	CONJ																						
продолжительный	продолжительно	A		сред		ед		кр																
выпускать	выпуская	V	непрош				деепр				несов			пе										
дух	дух	S		муж	вин	ед							неод											
и	и	CONJ																						
засучивать	засучивая	V	непрош				деепр				несов			пе										
рукав	рукава	S		муж	вин	мн							неод											
сказать	сказала	V	прош	жен		ед	изъяв				сов			пе										
марья	марья	S		жен	им	ед							од		имя									
дмитриевна	дмитриевна	S		жен	им	ед							од			отч								
в	в	PR																						
тот	то	APRO		сред	вин	ед																		
время	время	S		сред	вин	ед							неод											
как	как	CONJ																						
у	у	PR																						
ростов	ростовых	S		муж	пр	мн							од				фам							
танцевать	танцевали	V	прош			мн	изъяв				несов			пе										
в	в	PR																						
зал	зале	S		муж	пр	ед							неод											
шестой	шестой	ANUM		жен	пр	ед																		
англез	англез	S		муж	вин	ед							неод											
под	под	PR																						
звук	звуки	S		муж	вин	мн							неод											
от	от	PR																						
усталость	усталости	S		жен	пр	ед							неод											
фальшивить	фальшививших	V	прош		пр	мн	прич	полн			несов	действ		нп										
музыкант	музыкантов	S		муж	вин	мн							од											
и	и	CONJ																						
усталый	усталые	A			вин	мн		полн					неод											
официант	официанты	S		муж	им	мн							од											
и	и	CONJ																						
повар	повара	S		муж	вин	ед							од											
готовить	готовили	V	прош			мн	изъяв				несов			пе										
ужин	ужин	S		муж	вин	ед							неод											
с	с	PR																						
граф	графом	S		муж	твор	ед							од											
безухов	безуховым	S		муж	дат	мн							од				фам							
сделаться	сделался	V	прош	муж		ед	изъяв				сов			нп										
шестой	шестой	ANUM		жен	пр	ед																		
уже	уже	ADV																						
удар	удар	S		муж	вин	ед							неод											
доктор	доктора	S		муж	вин	ед							од											
объявлять	объявили	V	прош			мн	изъяв				сов			пе										
что	что	CONJ																						
надежда	надежды	S		жен	вин	мн							неод											
к	к	PR																						
выздоровление	выздоровлению	S		сред	дат	ед							неод											
нет	нет	PART																						
больной	больному	S		муж	дат	ед							од											
давать	дана	V	прош	жен		ед	прич	кр			сов	страд		пе										
быть	была	V	прош	жен		ед	изъяв				несов			нп										
глухой	глухая	A		жен	им	ед		полн																
исповедь	исповедь	S		жен	вин	ед							неод											
и	и	CONJ																						
причастие	причастие	S		сред	вин	ед							неод											
делать	делали	V	прош			мн	изъяв				несов			пе										
приготовление	приготовления	S		сред	вин	мн							неод											
для	для	PR																						
соборование	соборования	S		сред	вин	мн							неод											
и	и	CONJ																						
в	в	PR																						
дом	доме	S		муж	пр	ед							неод											
быть	была	V	прош	жен		ед	изъяв				несов			нп										
суетня	суетня	S		жен	им	ед							неод											
и	и	CONJ																						
тревога	тревога	S		жен	им	ед							неод											
ожидание	ожидания	S		сред	вин	мн							неод											
обыкновенный	обыкновенные	A			вин	мн		полн					неод											
в	в	PR																						
такой	такие	APRO			им	мн																		
минута	минуты	S		жен	вин	мн							неод											
вне	вне	PR																						
дом	дома	S		муж	вин	мн							неод											
за	за	PR																						
ворота	воротами	S			твор	мн							неод											
толпиться	толпились	V	прош			мн	изъяв				несов			нп										
скрываться	скрываясь	V	непрош				деепр				несов			нп										
от	от	PR																						
подъезжать	подъезжающих	V	непрош		пр	мн	прич	полн			несов	действ		нп										
экипаж	экипажей	S		муж	род	мн							неод											
гробовщик	гробовщики	S		муж	им	мн							од											
ожидать	ожидая	V	непрош				деепр				несов			пе										
богатый	богатого	A		муж	вин	ед		полн					од											
заказ	заказа	S		муж	род	ед							неод											
на	на	PR																						
похороны	похороны	S			вин	мн							неод											
граф	графа	S		муж	вин	ед							од											
главнокомандующий	главнокомандующий	S		муж	им	ед							од											
москва	москвы	S		жен	вин	мн							неод						гео					
который	который	APRO		муж	вин	ед							неод											
беспрестанный	беспрестанно	A		сред		ед		кр																
присылать	присылал	V	прош	муж		ед	изъяв				несов			пе										
адъютант	адъютантов	S		муж	вин	мн							од											
узнавать	узнавать	V					инф				несов			пе										
о	о	PR																						
положение	положении	S		сред	пр	ед							неод											
графа	графа	S		жен	им	ед							неод											
в	в	PR																						
этот	этот	APRO		муж	вин	ед							неод											
вечер	вечер	S		муж	вин	ед							неод											
сам	сам	APRO		муж	вин	ед							неод											
приезжать	приезжал	V	прош	муж		ед	изъяв				несов			нп										
прощаться	проститься	V					инф				сов			нп										
с	с	PR																						
знаменитый	знаменитым	A			дат	мн		полн																
екатерининский	екатерининским	A			дат	мн		полн																
вельможа	вельможей	S		муж	твор	ед							од											
граф	графом	S		муж	твор	ед							од											
безухов	безуховым	S		муж	дат	мн							од				фам							
великолепный	великолепная	A		жен	им	ед		полн																
приемный	приемная	A		жен	им	ед		полн																
комната	комната	S		жен	им	ед							неод											
быть	была	V	прош	жен		ед	изъяв				несов			нп										
полный	полна	A		жен		ед		кр																
все	все	SPRO			вин	мн																		
почтительно	почтительно	ADV																						
вставать	встали	V	прош			мн	изъяв				сов			нп										
когда	когда	CONJ																						
главнокомандующий	главнокомандующий	S		муж	им	ед							од											
пробыть	пробыв	V	прош				деепр				сов			нп										
около	около	PR																						
получас	получаса	S		муж	род	ед							неод											
наедине	наедине	ADV																						
с	с	PR																						
больной	больным	S		муж	дат	мн							од											
выходить	вышел	V	прош	муж		ед	изъяв				сов			нп										
оттуда	оттуда	ADVPRO																						
слегка	слегка	ADV																						
отвечать	отвечая	V	непрош				деепр				несов			нп										
на	на	PR																						
поклон	поклоны	S		муж	вин	мн							неод											
и	и	CONJ																						
стараться	стараясь	V	непрош				деепр				несов			нп										
как	как	CONJ																						
можно	можно	ADV																						
скоро	скорее	ADV							срав															
проходить	пройти	V					инф				сов			нп										
мимо	мимо	PR																						
устремлять	устремленных	V	прош		пр	мн	прич	полн			сов	страд		пе										
на	на	PR																						
он	него	SPRO		муж	вин	ед				3-л														
взгляд	взглядов	S		муж	род	мн							неод											
доктор	докторов	S		муж	вин	мн							од											
духовный	духовных	A			пр	мн		полн																
лицо	лиц	S		сред	род	мн							неод											
и	и	CONJ																						
родственник	родственников	S		муж	вин	мн							од											
князь	князь	S		муж	им	ед							од											
василий	василий	S		муж	им	ед							од		имя									
похудеть	похудевший	V	прош	муж	вин	ед	прич	полн			сов	действ	неод	нп										
и	и	CONJ																						
побледнеть	побледневший	V	прош	муж	вин	ед	прич	полн			сов	действ	неод	нп										
за	за	PR																						
этот	эти	APRO			им	мн																		
день	дни	S		муж	вин	мн							неод											
провожать	провожал	V	прош	муж		ед	изъяв				несов			пе										
главнокомандующий	главнокомандующего	S		муж	вин	ед							од											
и	и	CONJ																						
несколько	несколько	ADV																						
раз	раз	S		муж	вин	ед							неод											
тихо	тихо	ADV																						
повторять	повторил	V	прош	муж		ед	изъяв				сов			пе										
он	ему	SPRO		муж	дат	ед				3-л														
провожать	проводив	V	прош				деепр				сов													
главнокомандующий	главнокомандующего	S		муж	вин	ед							од											
князь	князь	S		муж	им	ед							од											
василий	василий	S		муж	им	ед							од		имя									
садиться	сел	V	прош	муж		ед	изъяв				сов			нп										
в	в	PR																						
зал	зале	S		муж	пр	ед							неод											
один	один	APRO		муж	вин	ед							неод											
на	на	PR																						
стул	стул	S		муж	вин	ед							неод											
закинуть	закинув	V	прош				деепр				сов			пе										
высоко	высоко	ADV																						
нога	ногу	S		жен	вин	ед							неод											
на	на	PR																						
нога	ногу	S		жен	вин	ед							неод											
на	на	PR																						
коленка	коленку	S		жен	вин	ед							неод											
упирать	упирая	V	непрош				деепр				несов			пе										
локоть	локоть	S		муж	вин	ед							неод											
и	и	CONJ																						
рука	рукою	S		жен	твор	ед							неод											
закрывать	закрыв	V	прош				деепр				сов													
глаз	глаза	S		муж	вин	мн							неод											
посидеть	посидев	V	прош				деепр				сов			нп										
так	так	ADVPRO																						
несколько	несколько	NUM																						
время	времени	S		сред	пр	ед							неод											
он	он	SPRO		муж	им	ед				3-л														
вставать	встал	V	прош	муж		ед	изъяв				сов			нп										
и	и	CONJ																						
непривычный	непривычно	A		сред		ед		кр																
поспешный	поспешными	A			твор	мн		полн																
шаг	шагами	S		муж	твор	мн							неод											
оглядываться	оглядываясь	V	непрош				деепр				несов			нп										
кругом	кругом	ADV																						
испуганный	испуганными	A			твор	мн		полн																
глаз	глазами	S		муж	твор	мн							неод											
пойти	пошел	V	прош	муж		ед	изъяв				сов			нп										
чрез	чрез	PR																						
длинный	длинный	A		муж	вин	ед		полн					неод											
коридор	коридор	S		муж	вин	ед							неод											
на	на	PR																						
задний	заднюю	A		жен	вин	ед		полн																
половина	половину	S		жен	вин	ед							неод											
дом	дома	S		муж	вин	мн							неод											
к	к	PR																						
старший	старшей	A		жен	пр	ед		полн																
княжна	княжне	S		жен	пр	ед							од											
находиться	находившиеся	V	прош		им	мн	прич	полн			несов	действ		нп										
в	в	PR																						
слабо	слабо	ADV																						
освещать	освещенной	V	прош	жен	пр	ед	прич	полн			сов	страд		пе										
комната	комнате	S		жен	пр	ед							неод											
неровный	неровным	A			дат	мн		полн																
шепот	шепотом	S		муж	твор	ед							неод											
говорить	говорили	V	прош			мн	изъяв				несов			пе										
между	между	PR																						
себя	собой	SPRO			твор																			
и	и	CONJ																						
каждый	каждый	APRO		муж	вин	ед							неод											
раз	раз	S		муж	вин	ед							неод											
замолкать	замолкали	V	прош			мн	изъяв				несов			нп										
и	и	CONJ																						
полный	полными	A			твор	мн		полн																
вопрос	вопроса	S		муж	род	ед							неод											
и	и	CONJ																						
ожидание	ожидания	S		сред	вин	мн							неод											
глаз	глазами	S		муж	твор	мн							неод											
оглядываться	оглядывались	V	прош			мн	изъяв				несов			нп										
на	на	PR																						
дверь	дверь	S		жен	вин	ед							неод											
который	которая	APRO		жен	им	ед																		
вести	вела	V	прош	жен		ед	изъяв				несов			пе										
в	в	PR																						
покой	покои	S		муж	вин	мн							неод											
умирающий	умирающего	S		муж	вин	ед							од											
и	и	CONJ																						
издавать	издавала	V	прош	жен		ед	изъяв				несов			пе										
слабый	слабый	A		муж	вин	ед		полн					неод											
звук	звук	S		муж	вин	ед							неод											
когда	когда	CONJ																						
выходить	выходил	V	прош	муж		ед	изъяв				несов			нп										
из	из	PR																						
она	нее	SPRO		жен	вин	ед				3-л														
или	или	CONJ																						
входить	входил	V	прош	муж		ед	изъяв				несов			нп										
в	в	PR																						
она	нее	SPRO		жен	вин	ед				3-л														
предел	предел	S		муж	вин	ед							неод											
человеческий	человеческий	A		муж	вин	ед		полн					неод											
говорить	говорил	V	прош	муж		ед	изъяв				несов			пе										
старичок	старичок	S		муж	им	ед							од											
духовный	духовное	A		сред	вин	ед		полн																
лицо	лицо	S		сред	вин	ед							неод											
дама	даме	S		жен	пр	ед							од											
подсаживаться	подсевшей	V	прош	жен	пр	ед	прич	полн			сов	действ		нп										
к	к	PR																						
он	нему	SPRO		муж	дат	ед				3-л														
и	и	CONJ																						
наивно	наивно	ADV																						
слушать	слушавшей	V	прош	жен	пр	ед	прич	полн			несов	действ		пе										
он	его	SPRO		муж	вин	ед				3-л														
предел	предел	S		муж	вин	ед							неод											
полагать	положен	V	прош	муж		ед	прич	кр			сов	страд		пе										
его	его	APRO			пр	мн																		
же	же	PART																						
не	не	PART																						
прейдеши	прейдеши	S		сред	пр	ед							неод											
я	я	SPRO			им	ед				1-л														
думать	думаю	V	непрош			ед	изъяв			1-л	несов			нп										
не	не	PART																						
поздно	поздно	ADV																						
ли	ли	PART																						
соборовать	соборовать	V					инф				несов			пе										
прибавлять	прибавляя	V	непрош				деепр				несов			пе										
духовный	духовный	A		муж	вин	ед		полн					неод											
титул	титул	S		муж	вин	ед							неод											
спрашивать	спрашивала	V	прош	жен		ед	изъяв				несов			пе										
дама	дама	S		жен	им	ед							од											
как	как	ADVPRO																						
будто	будто	PART																						
не	не	PART																						
иметь	имея	V	непрош				деепр				несов			пе										
на	на	PR																						
этот	этот	APRO		муж	вин	ед							неод											
счет	счет	S		муж	вин	ед							неод											
никакой	никакого	APRO		муж	вин	ед							од											
свой	своего	APRO		муж	вин	ед							од											
мнение	мнения	S		сред	вин	мн							неод											
таинство	таинство	S		сред	вин	ед							неод											
матушка	матушка	S		жен	им	ед							од											
великий	великое	A		сред	вин	ед		полн																
отвечать	отвечало	V	прош	сред		ед	изъяв				несов			нп										
духовный	духовное	A		сред	вин	ед		полн																
лицо	лицо	S		сред	вин	ед							неод											
проводить	проводя	V	непрош				деепр				несов			пе										
рука	рукою	S		жен	твор	ед							неод											
по	по	PR																						
лысина	лысине	S		жен	пр	ед							неод											
по	по	PR																						
который	которой	APRO		жен	пр	ед																		
пролегать	пролегало	V	прош	сред		ед	изъяв				несов			нп										
несколько	несколько	NUM																						
прядь	прядей	S		жен	род	мн							неод											
зачесывать	зачесанных	V	прош		пр	мн	прич	полн			сов	страд		пе										
полуседой	полуседых	A			пр	мн		полн																
волос	волос	S		муж	вин	ед							неод											
это	это	SPRO		сред	вин	ед							неод											
кто	кто	SPRO		муж	им	ед							од											
же	же	PART																						
сам	сам	APRO		муж	вин	ед							неод											
главнокомандующий	главнокомандующий	S		муж	им	ед							од											
быть	был	V	прош	муж		ед	изъяв				несов			нп										
спрашивать	спрашивали	V	прош			мн	изъяв				несов			пе										
в	в	PR																						
другой	другом	APRO		муж	пр	ед																		
конец	конце	S		муж	пр	ед							неод											
комната	комнаты	S		жен	вин	мн							неод											
какой	какой	APRO		жен	пр	ед																		
моложавый	моложавый	A		муж	вин	ед		полн					неод											
а	а	CONJ																						
седьмой	седьмой	ANUM		жен	пр	ед																		
десяток	десяток	S		муж	вин	ед							неод											
что	что	SPRO		сред	вин	ед							неод											
говорить	говорят	V	непрош			мн	изъяв			3-л	несов			пе										
граф	граф	S		муж	им	ед							од											
то	то	PART																						
не	не	PART																						
узнавать	узнает	V	непрош			ед	изъяв			3-л	несов			пе										
уж	уж	PART																						
хотеть	хотели	V	прош			мн	изъяв				несов			пе										
соборовать	соборовать	V					инф				несов			пе										
я	я	SPRO			им	ед				1-л														
один	одного	ANUM		муж	вин	ед							од											
знать	знал	V	прош	муж		ед	изъяв				несов			пе										
семь	семь	NUM			вин																			
раз	раз	S		муж	вин	ед							неод											
собороваться	соборовался	V	прош	муж		ед	изъяв				несов			нп										
второй	вторая	ANUM		жен	им	ед																		
княжна	княжна	S		жен	им	ед							од											
выходить	вышла	V	прош	жен		ед	изъяв				сов			нп										
из	из	PR																						
комната	комнаты	S		жен	вин	мн							неод											
больной	больного	S		муж	вин	ед							од											
с	с	PR																						
заплаканный	заплаканными	A			твор	мн		полн																
глаз	глазами	S		муж	твор	мн							неод											
и	и	CONJ																						
садиться	села	V	прош	жен		ед	изъяв				сов			нп										
подле	подле	PR																						
доктор	доктора	S		муж	вин	ед							од											
лоррен	лоррена	S		муж	род	ед							неод											
который	который	APRO		муж	вин	ед							неод											
в	в	PR																						
грациозный	грациозной	A		жен	пр	ед		полн																
поза	позе	S		жен	пр	ед							неод											
сидеть	сидел	V	прош	муж		ед	изъяв				несов			нп										
под	под	PR																						
портрет	портретом	S		муж	твор	ед							неод											
екатерина	екатерины	S		жен	род	ед							од		имя									
облокачиваться	облокотившись	V	прош				деепр				сов			нп										
на	на	PR																						
стол	стол	S		муж	вин	ед							неод											
сказать	сказала	V	прош	жен		ед	изъяв				сов			пе										
княжна	княжна	S		жен	им	ед							од											
вздыхать	вздыхая	V	непрош				деепр				несов			нп										
так	так	ADVPRO																						
можно	можно	ADV																						
он	ему	SPRO		муж	дат	ед				3-л														
пить	пить	V					инф				несов			пе										
лоррен	лоррен	S		муж	им	ед							од		имя									
задумываться	задумался	V	прош	муж		ед	изъяв				сов			нп										
он	он	SPRO		муж	им	ед				3-л														
принимать	принял	V	прош	муж		ед	изъяв				сов													
лекарство	лекарство	S		сред	вин	ед							неод											
да	да	PART																						
доктор	доктор	S		муж	им	ед							од											
посмотреть	посмотрел	V	прош	муж		ед	изъяв				сов			пе										
на	на	PR																						
брегет	брегет	S		муж	вин	ед							неод											
не	не	PART																						
пить	пило	V	прош	сред		ед	изъяв				несов			пе										
слушать	слушай	V				ед	пов			2-л	несов			пе										
говорить	говорил	V	прош	муж		ед	изъяв				несов			пе										
немец	немец	S		муж	им	ед							од											
доктор	доктор	S		муж	им	ед							од											
адъютант	адъютанту	S		муж	дат	ед							од											
чтопь	чтопи	S		жен	пр	ед							неод											
с	с	PR																						
третий	третий	ANUM		муж	вин	ед							неод											
удар	удар	S		муж	вин	ед							неод											
оставаться	оставался	V	прош	муж		ед	изъяв				несов			нп										
а	а	CONJ																						
какой	какой	APRO		жен	пр	ед																		
свежий	свежий	A		муж	вин	ед		полн					неод											
быть	был	V	прош	муж		ед	изъяв				несов			нп										
мужчина	мужчина	S		муж	им	ед							од											
говорить	говорил	V	прош	муж		ед	изъяв				несов			пе										
адъютант	адъютант	S		муж	им	ед							од											
и	и	CONJ																						
кто	кому	SPRO		муж	дат	ед							од											
пойти	пойдет	V	непрош			ед	изъяв			3-л	сов			нп										
этот	это	APRO		сред	вин	ед																		
богатство	богатство	S		сред	вин	ед							неод											
прибавлять	прибавил	V	прош	муж		ед	изъяв				сов			пе										
он	он	SPRO		муж	им	ед				3-л														
шепотом	шепотом	ADV																						
окотник	окотник	S		муж	вин	ед							неод											
находиться	найдутся	V	непрош			мн	изъяв			3-л	сов			нп										
улыбаться	улыбаясь	V	непрош				деепр				несов			нп										
отвечать	отвечал	V	прош	муж		ед	изъяв				несов			нп										
немец	немец	S		муж	им	ед							од											
весь	все	APRO			им	мн																		
опять	опять	ADV																						
оглянуться	оглянулись	V	прош			мн	изъяв				сов			нп										
на	на	PR																						
дверь	дверь	S		жен	вин	ед							неод											
она	она	SPRO		жен	им	ед				3-л														
скрипнуть	скрипнула	V	прош	жен		ед	изъяв				сов			нп										
и	и	CONJ																						
второй	вторая	ANUM		жен	им	ед																		
княжна	княжна	S		жен	им	ед							од											
сделать	сделав	V	прош				деепр				сов			пе										
питие	питье	S		сред	пр	ед							неод											
показывать	показанное	V	прош	сред	вин	ед	прич	полн			сов	страд												
лоррен	лорреном	S		муж	твор	ед							неод											
понести	понесла	V	прош	жен		ед	изъяв				сов			пе										
его	его	APRO			пр	мн																		
больной	больному	S		муж	дат	ед							од											
немец	немец	S		муж	им	ед							од											
доктор	доктор	S		муж	им	ед							од											
подходить	подошел	V	прош	муж		ед	изъяв				сов			нп										
к	к	PR																						
лоррен	лоррену	S		муж	дат	ед							неод											
еще	еще	ADV																						
мочь	может	V	непрош			ед	изъяв			3-л	несов			нп										
дотягиваться	дотянется	V	непрош			ед	изъяв			3-л	сов			нп										
до	до	PR																						
завтрашний	завтрашнего	A		муж	вин	ед		полн					од											
утро	утра	S		сред	вин	мн							неод											
спрашивать	спросил	V	прош	муж		ед	изъяв				сов													
немец	немец	S		муж	им	ед							од											
дурно	дурно	ADV																						
выговаривать	выговаривая	V	непрош				деепр				несов			пе										
лоррен	лоррен	S		муж	им	ед							од		имя									
поджинать	поджав	V	прош				деепр				сов													
губа	губы	S		жен	вин	мн							неод											
строго	строго	ADV																						
и	и	CONJ																						
отрицательно	отрицательно	ADV																						
помахать	помахал	V	прош	муж		ед	изъяв				сов			нп										
палец	пальцем	S		муж	твор	ед							неод											
перед	перед	PR																						
свой	своим	APRO			дат	мн																		
нос	носом	S		муж	твор	ед							неод											
сегодня	сегодня	ADV																						
ночь	ночью	S		жен	твор	ед							неод											
не	не	PART																						
поздно	позже	ADV							срав															
сказать	сказал	V	прош	муж		ед	изъяв				сов			пе										
он	он	SPRO		муж	им	ед				3-л														
тихо	тихо	ADV																						
с	с	PR																						
приличный	приличною	A		жен	твор	ед		полн																
улыбка	улыбкой	S		жен	твор	ед							неод											
самодовольство	самодовольства	S		сред	вин	мн							неод											
в	в	PR																						
то	том	SPRO		сред	пр	ед							неод											
что	что	CONJ																						
ясно	ясно	ADV																						
уметь	умеет	V	непрош			ед	изъяв			3-л	несов			нп										
понимать	понимать	V					инф				несов			пе										
и	и	CONJ																						
выражать	выражать	V					инф				несов			пе										
положение	положение	S		сред	вин	ед							неод											
больной	больного	S		муж	вин	ед							од											
и	и	CONJ																						
отходить	отошел	V	прош	муж		ед	изъяв				сов			нп										
между	между	PR																						
то	тем	SPRO		сред	твор	ед							неод											
князь	князь	S		муж	им	ед							од											
василий	василий	S		муж	им	ед							од		имя									
отворять	отворил	V	прош	муж		ед	изъяв				сов			пе										
дверь	дверь	S		жен	вин	ед							неод											
в	в	PR																						
комната	комнату	S		жен	вин	ед							неод											
